mjgallerybd,	Design & fashion · Women's clothes shop,	https://www.facebook.com/mjgallerybd,	01911-965834,	23232 likes,	,	,	
RajshahiEShoop,	Agricultural service · Agricultural cooperative · Marketing agency,	https://www.facebook.com/RajshahiEShoop,	01786-438068,	15676 likes,	Friday 5 February 2021 at 21:52,	Tuesday 26 January 2021 at 23:40,	
rubinas.dream,	Apparel & clothing,	https://www.facebook.com/rubinas.dream,	01614-899771,	22728 likes,	Friday 5 February 2021 at 11:59,	Wednesday 13 January 2021 at 07:23,	
spstyleshop.bd,	Shopping & retail,	https://www.facebook.com/spstyleshop.bd,	01924-810088,	55835 likes,	Friday 1 January 2021 at 18:31,	Thursday 31 December 2020 at 08:29,	
FNF.BUY,	Women's clothes shop · Clothing (brand),	https://www.facebook.com/FNF.BUY,	01968-176756,	2574 likes,	Friday 5 February 2021 at 04:26,	Wednesday 27 January 2021 at 06:28,	
elitestylebd,	Women's clothes shop · Boutique shop,	https://www.facebook.com/elitestylebd,	01977-308118,	60274 likes,	Friday 5 February 2021 at 22:51,	Wednesday 3 February 2021 at 10:31,	
sayefsharminonlinegirlsshop,	Women's clothes shop,	https://www.facebook.com/sayefsharminonlinegirlsshop,	01817-629649,	4143 likes,	Wednesday 3 February 2021 at 08:01,	Thursday 15 October 2020 at 06:15,	
mariafashion.closet,	Clothing (brand) · Women's clothes shop,	https://www.facebook.com/mariafashion.closet,	,	10446 likes,	Wednesday 22 July 2020 at 09:21,	Monday 20 July 2020 at 09:06,	
gamerstopupp,	Video games shop · Video game,	https://www.facebook.com/gamerstopupp,	Of Duty Cp 4- Mobile Legends,	1492 likes,	Tuesday 5 January 2021 at 13:40,	Sunday 20 December 2020 at 07:09,	
ranisoutfit,	Women's clothes shop · Design & fashion,	https://www.facebook.com/ranisoutfit,	01300-567720,	2058 likes,	Tuesday 2 February 2021 at 09:08,	Wednesday 3 February 2021 at 06:02,	
arshii.bd,	Product/service,	https://www.facebook.com/arshii.bd,	01709-164868,	146 likes,	Thursday 19 November 2020 at 08:36,	Thursday 19 November 2020 at 09:11,	
trendstalkerbd,	Women's clothes shop · Design & fashion · Baby & children's clothing store,	https://www.facebook.com/trendstalkerbd,	01777-066083,	21694 likes,	Friday 5 February 2021 at 04:45,	Friday 15 January 2021 at 04:00,	
